Neighborhood_id,Neighborhood,Population,Hispanic,White,Black,Native_AM,Asian,Hawaiian_Pacific,Other,Num_Occupied,Units_Rented
32,Hampden,17547.0,2505.0,11750.0,1963.0,64.0,726.0,20.0,38.0,9320.0,4805.0
3,Baker,4879.0,1664.0,2854.0,144.0,43.0,52.0,10.0,7.0,2447.0,1362.0
70,Washington Park,6905.0,295.0,6356.0,28.0,9.0,119.0,3.0,13.0,3307.0,713.0
13,Cherry Creek,5589.0,332.0,4896.0,79.0,17.0,168.0,4.0,3.0,3542.0,1869.0
22,Country Club,3001.0,94.0,2740.0,20.0,8.0,77.0,1.0,5.0,1289.0,239.0
17,Clayton,4336.0,2126.0,699.0,1308.0,32.0,42.0,4.0,3.0,1456.0,670.0
55,Skyland,3106.0,573.0,882.0,1498.0,17.0,20.0,1.0,12.0,1381.0,531.0
15,City Park West,4844.0,524.0,2981.0,995.0,53.0,84.0,1.0,20.0,2574.0,1827.0
9,Capitol Hill,14708.0,1654.0,11554.0,649.0,99.0,333.0,9.0,28.0,10856.0,8648.0
47,North Capitol Hill,5823.0,650.0,4283.0,536.0,41.0,148.0,3.0,8.0,3851.0,3245.0
16,Civic Center,1577.0,151.0,1230.0,81.0,10.0,60.0,0.0,0.0,1140.0,846.0
10,CBD,3648.0,355.0,2744.0,254.0,34.0,122.0,4.0,14.0,2363.0,1976.0
63,Union Station,4348.0,290.0,3537.0,94.0,16.0,327.0,1.0,2.0,3070.0,1843.0
26,Five Points,12712.0,2863.0,7240.0,1936.0,103.0,219.0,12.0,20.0,6406.0,4632.0
60,Stapleton,13948.0,1812.0,9718.0,1395.0,80.0,515.0,7.0,31.0,4092.0,915.0
36,Highland,8429.0,3140.0,4840.0,161.0,54.0,115.0,10.0,7.0,4131.0,2285.0
29,Globeville,3687.0,2501.0,950.0,112.0,36.0,27.0,5.0,6.0,1040.0,575.0
66,University Park,7491.0,484.0,6253.0,158.0,12.0,419.0,4.0,12.0,3663.0,2156.0
21,Cory - Merrill,3892.0,238.0,3440.0,38.0,6.0,104.0,1.0,9.0,1771.0,385.0
71,Washington Park West,6393.0,444.0,5626.0,69.0,28.0,85.0,0.0,11.0,3365.0,1388.0
59,Speer,10954.0,1222.0,8971.0,239.0,51.0,242.0,10.0,17.0,7304.0,5138.0
20,Congress Park,10235.0,828.0,8429.0,452.0,46.0,214.0,4.0,25.0,5724.0,3298.0
18,Cole,4651.0,2847.0,911.0,752.0,20.0,21.0,4.0,17.0,1595.0,840.0
62,Sunnyside,9726.0,5768.0,3321.0,286.0,104.0,94.0,3.0,29.0,3781.0,1614.0
54,Ruby Hill,9820.0,6797.0,2052.0,235.0,88.0,567.0,4.0,22.0,3324.0,1635.0
64,University,9375.0,627.0,7796.0,162.0,46.0,521.0,4.0,18.0,3759.0,2143.0
30,Goldsmith,5808.0,1613.0,3043.0,738.0,42.0,204.0,6.0,13.0,2762.0,1964.0
69,Virginia Village,12844.0,2488.0,8453.0,1007.0,82.0,437.0,5.0,28.0,6056.0,3204.0
23,DIA,1165.0,234.0,504.0,333.0,6.0,38.0,2.0,5.0,509.0,118.0
65,University Hills,5327.0,540.0,4376.0,153.0,19.0,110.0,3.0,10.0,2509.0,850.0
74,West Colfax,9740.0,6025.0,2875.0,385.0,138.0,154.0,7.0,26.0,3703.0,2746.0
75,West Highland,8540.0,1637.0,6472.0,94.0,55.0,145.0,2.0,19.0,4256.0,1591.0
58,Southmoor Park,3826.0,269.0,3170.0,88.0,6.0,218.0,1.0,2.0,2135.0,1348.0
38,Indian Creek,3096.0,295.0,2258.0,328.0,11.0,109.0,3.0,5.0,1785.0,458.0
24,East Colfax,10191.0,2824.0,3299.0,2473.0,77.0,1154.0,8.0,11.0,4273.0,2819.0
53,Rosedale,2553.0,275.0,2144.0,39.0,11.0,30.0,0.0,4.0,1293.0,646.0
14,City Park,2907.0,304.0,2182.0,258.0,12.0,69.0,2.0,4.0,1645.0,1081.0
42,Lowry Field,8067.0,800.0,5957.0,794.0,23.0,271.0,5.0,14.0,3829.0,1947.0
35,Harvey Park South,8393.0,3925.0,3641.0,171.0,54.0,464.0,11.0,17.0,3102.0,1177.0
28,Gateway / Green Valley Ranch,29201.0,10818.0,7003.0,8305.0,108.0,1655.0,110.0,65.0,9427.0,2777.0
5,Barnum West,5376.0,4016.0,1151.0,40.0,53.0,81.0,2.0,5.0,1704.0,547.0
46,Montclair,5456.0,461.0,4245.0,480.0,27.0,107.0,5.0,9.0,2706.0,846.0
